Q4,Q5,Q5_TEXT,Q6,Q7,Q8,Q9_22,Q9_23,Q9_24,Q9_25,Q9_26,Q9_27,Q9_28,Q9_29,Q9_30,Q9_31,Q9_32,Q9_33,Q9_34,Q9_35,Q9_36,Q9_37,Q9_38,Q9_39,Q10_40,Q10_41,Q10_42,Q10_43,Q10_44,Q10_45,Q10_46,Q10_47,Q10_48,Q10_49,Q10_50,Q10_51,Q10_52,Q10_53,Q10_54,Q10_55,Q10_56,Q10_57,Q11,Q12_58,Q12_59,Q12_60,Q12_61,Q12_62,Q12_63,Q12_64,Q12_65,Q12_66,Q12_67,Q12_68,Q12_69,Q12_70,Q12_71,Q12_72,Q12_73,Q12_74,Q12_75,Q12_76,Q12_77,Q12_78,Q12_79,Q12_80,Q12_81,Q12_82,Q12_83,Q12_84,Q12_85,Q13_79,Q13_80,Q13_81,Q13_82,Q13_83,Q14_1,Q15,Q16,Q17,Q18,Q19,LocationLatitude,LocationLongitude,LocationAccuracy
UGG,3, ,1,4,1,6,5,4,6,7,5,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,26,0,12.5,5,5,1,39.928894042969,116.38830566406,-1
best buy,2, ,3,7,1,6,5,6,5,5,7,6,5,4,5,7,4,5,5,5,6,6,6,6,6,7,6,4,6,7,6,5,7,5,7,6,6,7,5,5,4,1,6,6,6,6,6,6,4,6,5,5,4,5,7,4,4,5,6,6,6,6,7,5,7,4,7,5,6,5,7,6,7,6,6,51,0,112.5,5,3,1,40.696304321289,-73.620697021484,-1
Trader joe's,1, ,3,5,1,5,5,6,6,5,5,5,5,5,5,5,5,7,5,5,6,6,5,5,5,5,4,5,6,7,5,6,5,4,5,4,5,5,5,5,5,1,6,6,5,6,5,4,6,5,6,5,5,6,6,6,5,5,5,6,5,5,5,5,5,4,5,5,5,5,5,5,6,6,4,45,1,137.5,5,3,1,40.696304321289,-73.620697021484,-1
target,1, ,3,10,1,6,5,6,6,6,5,6,5,5,5,5,6,5,6,5,5,5,6,4,5,6,4,5,6,5,6,5,5,6,6,6,6,5,6,5,5,1,5,5,5,6,5,5,4,4,5,4,5,5,5,6,4,6,4,4,4,6,5,5,6,5,5,5,5,5,4,5,5,4,5,29,0,37.5,5,5,1,40.727600097656,-73.634399414062,-1
bestbuy,2, ,2,7,1,5,5,5,4,3,6,5,5,4,5,5,5,5,5,5,5,5,6,5,5,7,4,5,6,5,6,5,6,6,4,6,4,6,4,6,4,1,6,5,5,6,7,5,5,5,5,7,4,6,6,6,3,5,5,6,4,6,6,7,6,4,4,5,6,5,4,3,3,4,4,54,1,137.5,5,1,1,40.689407348633,-73.650199890137,-1
walmart,1, ,3,5,1,4,4,5,5,5,4,6,5,4,6,5,4,6,5,7,5,6,4,6,5,4,5,5,6,4,5,4,4,5,4,3,4,4,4,4,3,1,4,6,4,6,4,4,5,4,5,4,3,4,4,5,3,4,3,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,3,39,1,37.5,5,1,1,40.696304321289,-73.620697021484,-1
Apple,2, ,1,7,1,4,5,4,5,4,4,5,5,4,4,5,4,4,5,5,5,4,5,5,6,5,5,5,6,5,5,5,6,5,5,6,6,5,5,6,5,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,7,30,0,62.5,5,5,1,40.766998291016,-73.525398254395,-1
lenox,3, ,3,4,1,4,6,6,6,6,5,6,5,5,6,6,5,6,6,6,5,6,5,5,6,5,5,5,6,7,6,5,5,6,5,5,5,5,6,6,6,1,7,7,6,6,7,6,4,5,5,7,6,6,6,6,6,6,6,7,6,5,6,6,6,6,6,7,6,5,6,6,7,7,6,20,0,12.5,4,5,1,33.818099975586,-84.360397338867,-1
Macy’s,3, ,2,4,1,5,6,6,6,6,4,6,5,6,6,4,6,5,6,4,5,6,5,5,6,5,5,5,6,5,4,6,5,5,5,6,5,6,3,3,4,1,5,6,4,6,5,5,4,6,3,4,6,6,6,6,5,4,3,4,5,5,6,5,5,5,5,5,5,6,5,5,3,5,5,26,0,250,3,1,1,30.16780090332,-97.82250213623,-1
costco,1, ,2,6,1,6,6,6,6,6,6,6,6,5,6,6,5,4,6,5,6,6,6,5,6,5,5,5,6,5,5,6,5,5,6,6,6,5,5,5,6,1,6,5,6,6,6,5,5,6,5,6,6,6,6,6,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,28,0,87.5,3,1,1,40.798095703125,-73.068000793457,-1
cvs,1, ,2,9,1,6,6,6,6,6,6,5,6,6,5,6,5,6,5,5,6,6,6,6,5,5,5,5,6,6,6,6,5,5,6,6,6,6,4,6,5,1,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,5,5,5,6,6,6,6,5,6,5,6,5,6,5,4,4,5,5,42,1,87.5,5,1,1,40.696304321289,-73.620697021484,-1
GAP,3, ,1,7,1,4,7,5,6,4,6,5,3,5,7,6,6,6,6,5,6,5,6,6,4,6,5,5,6,5,5,5,6,5,4,5,6,6,6,6,6,1,6,5,5,6,6,6,5,6,6,5,6,6,6,6,4,5,6,5,6,6,5,6,5,5,5,4,6,6,6,6,5,5,5,41,1,12.5,5,1,1,31.045593261719,121.3996887207,-1
TJ Maxx,3, ,2,10,1,5,5,5,5,5,4,5,4,5,5,5,5,4,4,4,4,4,5,6,6,6,5,5,6,6,6,7,6,6,7,5,6,6,6,6,6,1,5,6,6,6,5,6,6,6,6,4,5,6,6,5,5,5,5,6,6,6,6,6,6,6,5,6,5,5,5,6,6,6,6,22,0,12.5,3,5,1,40.722793579102,-73.516998291016,-1
Macy's,3, ,2,4,1,5,6,6,6,5,5,7,6,6,5,6,6,5,7,6,7,6,6,6,6,2,6,5,6,6,6,6,6,5,6,6,6,6,5,5,6,1,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,7,7,7,7,6,6,6,6,6,6,7,6,6,6,61,1,87.5,5,1,1,28.666702270508,77.433288574219,-1
Costco,1, ,2,6,1,7,7,7,7,6,7,6,6,6,7,5,6,5,6,7,6,6,6,6,5,4,6,5,6,6,5,6,7,6,5,6,6,5,4,6,6,1,5,7,6,6,6,6,7,6,6,5,6,6,6,6,5,5,5,6,5,7,6,4,6,6,6,5,6,6,6,6,6,6,6,25,0,12.5,5,5,1,40.689407348633,-73.650199890137,-1
H mart,1, ,3,5,1,7,6,6,7,5,5,5,6,5,6,6,4,5,6,6,6,6,5,6,6,4,6,5,6,6,6,6,5,6,5,5,5,5,4,5,5,1,4,4,5,6,4,6,5,5,5,4,5,5,7,6,4,4,4,5,5,6,5,6,5,4,4,5,4,5,5,7,7,6,5,40,0,187.5,5,1,1,40.696304321289,-73.620697021484,-1
shoprite,1, ,3,5,1,6,6,6,6,6,6,6,5,5,5,6,5,5,6,6,6,6,5,5,6,5,6,5,6,6,6,6,6,5,6,6,5,6,6,6,6,1,6,6,6,6,5,5,5,6,6,6,5,6,5,5,6,5,5,6,6,6,6,6,6,6,6,6,6,6,3,5,4,4,3,31,1,12.5,3,1,1,40.696304321289,-73.620697021484,-1
sephora,3, ,3,7,1,6,7,5,5,7,6,6,5,7,6,4,7,5,5,6,5,6,4,5,6,5,6,5,6,5,7,7,7,7,6,5,5,6,5,6,5,1,6,7,7,6,5,3,6,5,5,7,6,6,6,7,2,5,4,5,6,5,3,7,5,5,6,5,6,5,6,6,7,5,6,40,0,87.5,5,1,1,40.696304321289,-73.620697021484,-1
costco,1, ,3,6,1,6,6,6,5,5,5,6,6,4,6,6,4,5,6,6,6,5,6,6,5,5,6,5,6,5,6,5,6,6,4,5,5,4,6,6,6,1,6,5,4,6,6,6,6,6,5,6,4,5,5,6,6,6,4,6,5,6,4,6,6,5,6,6,6,6,5,6,6,5,6,39,0,162.5,5,2,1,40.696304321289,-73.620697021484,-1
target,1, ,2,5,1,6,6,6,5,5,6,4,6,5,7,6,6,7,7,5,5,6,5,6,6,5,6,5,6,6,6,7,5,5,5,6,6,7,6,6,5,1,7,5,5,6,6,5,6,6,5,6,5,6,6,6,6,6,5,7,6,7,5,6,6,6,6,6,5,6,6,5,6,6,6,21,0,12.5,3,2,1,40.696304321289,-73.620697021484,-1
 ,1, ,3,5,1,5,6,5,5,6,3,5,3,5,5,3,5,6,5,5,6,5,4,5,5,6,6,5,6,5,5,6,6,4,5,5,4,6,6,5,6,1,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,22,1,250,3,5,1,40.765396118164,-73.817398071289,-1
Zara,3, ,2,7,1,6,6,6,6,6,6,6,5,5,5,5,5,5,5,6,5,5,5,5,5,6,6,5,6,5,6,6,5,5,5,6,6,5,5,6,5,1,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,5,6,5,6,5,5,5,5,6,5,5,5,5,6,5,5,5,23,0,12.5,5,5,1,43.800994873047,87.600494384766,-1
Walmart,1, ,3,5,1,6,5,6,6,5,6,5,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,5,6,6,6,5,6,6,6,6,5,6,6,5,5,1,6,5,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,5,6,5,4,5,5,5,27,1,12.5,4,5,1,39.928894042969,116.38830566406,-1
Changfa,1, ,3,5,1,6,6,6,7,7,5,6,4,5,6,6,6,4,4,3,6,7,6,6,6,6,6,5,6,5,5,6,7,5,7,6,6,5,7,4,4,1,6,5,6,6,6,6,7,5,6,6,5,7,7,4,5,5,6,5,5,4,6,6,6,6,7,5,5,5,6,5,6,7,5,45,0,87.5,5,1,1,40.705795288086,-73.592300415039,-1
target,1, ,2,5,1,6,6,6,6,6,7,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,5,6,7,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,23,0,12.5,3,5,1,40.696304321289,-73.620697021484,-1
burlington,3, ,3,4,1,6,6,7,6,5,6,5,6,6,6,5,3,6,7,6,6,6,7,6,6,6,6,5,6,5,5,6,6,6,6,6,4,6,6,6,6,1,6,6,6,6,6,6,4,6,6,4,6,6,6,6,6,4,4,4,4,6,6,6,6,6,6,6,4,5,6,6,6,6,6,20,0,12.5,4,5,1,28.600006103516,77.200012207031,-1
masy's,3, ,1,4,1,6,6,6,7,6,6,6,7,6,7,6,7,6,6,6,7,6,6,6,6,6,6,5,6,6,7,7,6,7,5,6,6,7,7,6,7,1,6,6,5,6,6,6,7,7,7,6,6,7,7,7,7,6,6,6,6,6,6,6,6,7,7,7,6,7,5,5,5,4,6,27,1,12.5,3,5,1,40.672607421875,-73.536399841309,-1
stopshop,1, ,3,5,1,5,6,5,6,4,6,5,6,6,5,6,6,3,6,6,6,6,5,7,5,6,6,5,6,5,6,6,6,5,6,6,4,6,5,5,5,1,6,6,5,6,4,5,6,5,6,5,5,5,6,6,5,6,4,6,6,6,6,6,4,4,6,5,6,6,3,5,4,4,3,23,1,12.5,3,5,1,40.696304321289,-73.620697021484,-1
Uniqlo,3, ,1,7,1,5,5,5,6,2,3,2,6,5,4,3,4,5,6,5,6,5,6,5,5,4,7,5,6,7,5,6,4,6,5,6,5,5,5,6,5,1,4,5,5,6,6,5,4,6,5,5,4,6,6,5,5,5,6,6,5,4,5,6,6,5,6,4,4,5,6,6,5,6,6,22,1,12.5,4,5,1,40.616592407227,-74.012397766113,-1
Hanleys,3, ,3,7,1,6,6,7,6,6,5,6,7,6,6,6,4,4,6,6,5,6,7,7,7,6,7,5,6,7,6,6,5,7,6,6,7,6,6,6,7,1,5,6,4,6,6,6,6,6,5,5,6,7,6,7,6,6,4,5,6,7,6,6,6,6,6,6,5,6,7,7,7,6,6,27,0,12.5,5,1,1,18.533294677734,73.86669921875,-1
Toys R Us,5,toys,3,7,1,6,6,7,7,6,6,7,5,6,7,5,6,6,6,7,6,5,6,7,6,7,7,5,6,6,6,5,6,7,6,6,7,6,7,6,6,1,7,6,6,6,7,7,6,6,6,7,6,7,5,6,6,6,5,7,5,7,5,6,6,6,7,7,6,7,7,6,7,5,6,34,0,137.5,5,1,1,40.696304321289,-73.620697021484,-1
Walmart,1, ,3,5,1,7,6,7,5,5,6,5,6,6,6,7,5,7,5,7,7,7,4,7,7,7,7,5,6,7,6,6,7,7,5,5,6,6,6,6,4,1,7,7,7,6,6,6,7,6,4,5,6,6,5,7,5,5,7,7,6,7,6,7,7,7,6,6,6,7,5,6,6,7,7,33,1,62.5,5,5,1,40.696304321289,-73.620697021484,-1
Stop Shop,1, ,3,5,1,6,5,6,4,6,3,5,6,6,3,4,4,4,4,7,6,5,6,5,6,4,3,6,6,4,4,5,7,7,6,6,5,5,3,3,4,1,6,6,6,6,6,6,2,3,6,6,6,6,6,6,3,2,6,6,2,6,5,4,1,4,3,3,3,4,6,7,5,5,4,23,1,12.5,3,5,1,40.722503662109,-73.556800842285,-1
Trader Joe's,1, ,3,5,1,5,5,5,4,2,3,2,6,6,5,3,5,2,6,6,5,5,3,3,3,2,5,6,6,6,5,3,5,5,5,6,5,4,5,2,4,1,6,6,6,6,5,4,4,5,3,5,6,5,6,6,2,5,5,6,6,6,6,3,3,5,3,4,4,5,5,5,3,5,5,25,1,12.5,3,5,1,40.841903686523,-73.536399841309,-1
Costco,1, ,3,6,1,6,6,6,6,7,5,6,6,5,6,6,5,4,5,5,6,6,6,5,4,4,5,6,6,6,6,5,4,6,5,6,6,5,6,5,6,1,6,6,5,6,6,6,6,5,5,5,7,6,6,7,6,5,5,5,6,6,7,5,6,6,6,5,6,4,5,6,5,5,6,34,0,162.5,5,1,1,40.696304321289,-73.620697021484,-1
Sephora,3, ,1,7,1,5,5,6,6,1,7,1,6,6,5,4,2,5,3,6,7,6,6,5,6,4,5,6,6,5,6,6,5,6,6,6,5,7,5,6,6,1,5,5,5,6,5,4,6,6,5,6,6,6,7,5,6,7,6,6,5,5,5,7,5,7,6,7,7,5,4,5,4,4,4,31,0,112.5,5,5,1,40.75700378418,-73.581398010254,-1
costco,1, ,2,6,1,6,5,6,5,6,6,6,4,6,4,5,6,5,5,6,5,6,5,5,6,5,5,6,6,5,4,5,5,5,5,5,6,5,6,6,4,1,5,6,6,6,4,5,4,6,6,5,6,6,5,5,6,5,6,6,5,6,5,5,5,6,5,6,7,6,5,6,5,6,6,45,1,87.5,5,1,1,40.766998291016,-73.525398254395,-1
stop & shop,1, ,3,5,1,6,5,7,7,6,6,7,7,6,4,5,4,5,7,5,5,6,4,6,4,5,5,6,6,6,7,7,6,5,6,5,5,5,6,5,5,1,4,5,4,6,5,6,6,6,7,5,5,6,7,5,5,7,6,5,5,4,6,4,5,5,5,5,7,6,5,6,5,3,4,36,0,162.5,5,2,1,40.696304321289,-73.620697021484,-1
stop shop,1, ,2,5,1,6,5,6,6,6,5,6,6,5,5,5,6,6,5,6,6,6,6,5,5,6,5,6,6,6,6,6,5,6,6,6,6,5,5,5,6,1,5,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,5,5,6,5,6,5,5,5,5,6,6,6,5,6,5,5,6,24,1,12.5,3,5,1,40.696304321289,-73.620697021484,-1
best buy,2, ,1,7,1,5,6,6,7,7,7,6,6,6,5,7,5,7,6,6,5,6,5,6,5,6,5,6,6,7,5,3,7,5,3,6,6,5,4,5,6,1,5,5,6,6,6,6,6,6,6,5,4,6,5,4,5,3,5,5,7,6,3,7,7,6,6,7,6,5,5,5,4,6,5,37,1,37.5,4,1,1,40.696304321289,-73.620697021484,-1
 ,1, ,2,5,1,6,6,6,4,6,6,6,6,5,6,7,6,7,6,6,5,5,5,6,6,7,5,6,6,5,5,6,6,5,6,6,7,6,6,5,6,1,6,6,7,6,6,5,5,5,6,6,6,5,6,6,7,5,6,6,6,6,7,6,6,6,6,5,5,6,5,5,5,4,5,46,0,12.5,3,1,1,40.696304321289,-73.620697021484,-1
DSW,3, ,3,7,1,7,7,7,7,5,2,2,7,7,4,5,5,6,6,7,7,7,6,6,6,2,6,6,6,5,4,6,6,6,6,6,6,6,6,6,6,1,6,6,1,6,6,6,6,6,5,2,6,7,7,6,6,2,2,2,6,6,6,6,5,6,4,6,6,5,6,6,6,6,6,28,0,37.5,4,2,1,40.622497558594,-73.966201782227,-1
ULTA,3, ,3,7,1,5,6,6,6,3,6,6,5,5,5,6,5,6,6,7,6,6,6,7,6,2,6,6,6,6,5,5,6,5,5,6,5,3,5,5,6,1,2,6,2,6,6,2,5,6,5,5,6,6,6,6,6,6,5,5,5,5,5,5,6,6,6,6,6,6,5,6,5,6,5,39,0,37.5,3,1,1,40.75700378418,-73.581398010254,-1
h mart,1, ,3,5,1,6,6,6,6,6,6,6,6,6,7,7,6,6,6,7,6,6,7,3,6,3,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,3,4,5,3,6,6,6,6,5,3,6,6,6,5,6,6,6,6,6,6,6,6,6,6,4,4,5,25,0,12.5,3,5,1,40.722503662109,-73.556800842285,-1
Best Market,1, ,2,5,1,5,5,6,5,6,4,7,4,5,4,4,5,4,6,5,4,6,6,5,7,4,6,6,6,4,4,5,5,4,4,4,4,4,5,5,4,1,5,7,5,6,5,7,6,4,4,4,7,7,7,6,4,3,5,4,5,5,7,4,5,4,4,4,5,5,4,3,4,4,5,24,0,37.5,3,5,1,40.722793579102,-73.516998291016,-1
Zara,3, ,3,4,1,5,6,5,4,5,6,5,5,5,4,6,4,5,6,5,6,5,6,6,6,4,6,6,6,3,5,7,6,3,6,6,2,2,6,7,5,1,5,4,6,6,4,4,4,7,4,4,6,4,4,4,4,4,4,4,6,5,6,5,4,4,3,5,6,4,7,6,7,6,6,26,0,12.5,3,5,1,40.620101928711,-73.986801147461,-1
Macy's,3, ,2,4,1,6,6,5,5,5,5,7,6,5,4,4,5,5,6,7,5,6,6,7,6,4,6,6,6,5,6,7,5,5,4,6,4,5,3,5,5,1,5,5,4,6,5,4,3,7,6,4,7,7,7,7,3,4,5,4,2,5,6,3,5,5,4,6,5,6,5,6,4,5,4,31,1,87.5,5,1,1,40.696304321289,-73.620697021484,-1
Walmart,1, ,2,10,1,6,6,5,5,6,4,3,4,4,4,4,5,5,6,6,5,4,5,4,3,5,6,6,6,5,5,6,4,5,3,5,6,4,6,5,4,1,5,5,3,6,4,4,3,3,3,3,7,6,6,6,3,3,3,3,3,5,6,5,5,5,5,6,6,3,3,3,3,4,5,27,0,87.5,5,5,1,40.696304321289,-73.620697021484,-1
CVS,1, ,3,7,1,6,6,6,6,6,6,6,5,6,6,5,5,6,6,6,6,5,5,5,5,5,6,6,6,6,6,5,5,6,5,6,6,5,5,6,6,1,6,5,5,6,6,6,6,5,6,6,6,5,6,5,5,6,6,5,6,6,6,6,5,6,5,6,6,6,7,7,6,7,7,64,0,162.5,5,1,1,40.696304321289,-73.620697021484,-1
Bob's,2, ,3,6,1,6,5,6,6,6,6,5,6,6,6,4,6,6,6,5,6,6,6,5,6,5,6,6,6,6,5,6,6,6,4,6,6,6,6,5,5,1,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,35,1,87.5,5,5,1,40.714294433594,-74.005996704102,-1
target,1, ,2,5,1,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,4,6,5,6,4,5,6,6,6,6,5,5,6,6,5,6,6,6,6,5,5,1,4,6,5,6,6,4,6,4,6,6,4,5,6,6,5,6,6,5,5,6,6,5,5,6,6,5,6,5,6,5,4,5,5,32,0,87.5,5,1,1,40.696304321289,-73.620697021484,-1
WalMarket,1, ,3,5,1,6,6,6,6,5,6,6,6,5,6,6,6,5,5,6,5,6,6,6,5,5,6,6,6,5,6,6,5,6,6,6,6,5,6,6,5,1,5,5,6,6,5,5,6,5,6,6,6,5,6,6,5,5,6,6,6,5,5,6,5,5,5,6,5,6,6,6,6,6,5,21,0,12.5,5,5,1,31.045593261719,121.3996887207,-1
Home Depot,2, ,3,6,1,4,5,6,6,6,6,6,4,5,6,4,6,6,6,6,6,6,6,4,4,6,6,6,6,6,4,6,5,6,5,6,6,6,5,5,5,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,48,1,87.5,5,1,1,40.663192749023,-73.553001403809,-1
Target,1, ,3,6,1,6,6,6,5,5,4,5,4,5,5,5,5,5,4,6,6,6,6,6,6,6,6,6,6,6,5,6,5,6,5,5,6,5,5,6,6,1,6,6,5,6,6,5,6,6,5,5,6,6,6,5,5,6,5,4,5,4,6,6,5,5,5,6,6,6,6,5,6,6,5,29,1,37.5,4,5,1,40.696304321289,-73.620697021484,-1
BJ's Wholesale,5,"Diapers, paper towel, toilet paper",3,6,1,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,5,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,35,0,87.5,4,1,1,40.714294433594,-74.005996704102,-1
Zara,3, ,2,7,1,6,6,6,6,5,6,6,6,6,6,5,6,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,1,6,6,5,6,6,6,6,6,6,6,6,5,5,6,6,6,5,6,5,5,6,6,5,5,6,5,6,5,6,6,6,6,6,35,1,87.5,5,2,1,40.75700378418,-73.581398010254,-1
fairway,1, ,2,5,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,7,6,1,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,23,0,12.5,3,5,1,40.696304321289,-73.620697021484,-1
harbour city,2, ,2,4,1,6,6,6,5,4,6,6,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,24,0,12.5,5,5,1,22.399993896484,114.23330688477,-1
Target,3, ,3,10,1,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,30,1,112.5,5,1,1,40.714294433594,-74.005996704102,-1
Traders Joe,1, ,3,5,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,25,1,12.5,3,5,1,40.696304321289,-73.620697021484,-1
cvs,1, ,1,5,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,29,1,12.5,3,5,1,40.714294433594,-74.005996704102,-1
Express,3, ,3,4,1,6,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,6,6,1,6,6,6,6,6,6,5,5,6,6,6,6,6,6,5,5,5,5,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,39,1,112.5,5,2,1,40.663192749023,-73.553001403809,-1
stop & shop,1, ,3,5,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,28,1,12.5,5,5,1,39.295196533203,-76.623100280762,-1
H-Mart Supermarket,1, ,2,5,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,25,0,12.5,4,5,1,40.696304321289,-73.620697021484,-1
Talbots,3, ,3,7,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,5,5,5,58,0,87.5,4,2,1,40.65299987793,-73.714500427246,-1
Cosco,3, ,3,6,1,6,6,5,7,6,7,6,5,6,6,5,6,7,6,6,6,7,5,6,7,6,6,6,6,7,6,7,7,7,6,5,5,6,6,5,7,1,5,6,5,6,6,6,6,7,6,5,5,5,7,5,6,6,7,6,6,5,5,7,6,7,5,6,6,6,7,6,6,7,7,34,1,137.5,5,1,1,40.696304321289,-73.620697021484,-1
Walmart,2, ,2,6,1,2,4,7,3,6,5,6,4,2,4,6,6,6,4,5,5,3,4,7,4,6,6,6,6,2,4,5,5,3,2,3,5,5,3,6,6,1,6,5,4,6,6,6,6,6,6,4,5,4,5,2,7,6,7,3,4,6,5,6,3,6,6,6,4,7,5,7,4,6,7,21,0,37.5,5,5,1,20.045806884766,110.34170532227,-1
Lululemon,2, ,3,7,1,5,7,6,7,6,6,7,6,6,6,6,6,6,6,6,6,6,6,7,5,6,6,6,6,6,6,6,6,5,6,6,7,5,6,6,6,1,6,7,7,6,6,6,6,6,7,6,6,6,6,7,6,6,7,6,6,6,5,6,6,7,5,6,6,6,6,6,6,6,6,25,0,37.5,4,5,1,40.696304321289,-73.620697021484,-1
Stop shop,1, ,2,5,1,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,1,6,6,7,6,7,6,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,24,0,12.5,3,5,1,40.696304321289,-73.620697021484,-1
7 elenev,1, ,2,9,1,6,6,6,6,5,5,5,6,6,5,5,6,5,6,7,6,6,6,6,6,7,6,6,6,6,6,7,6,5,5,5,6,5,6,5,7,1,6,6,5,6,7,5,6,6,7,6,6,6,7,7,6,5,7,5,6,7,5,6,5,6,6,6,5,5,5,5,6,6,6,38,1,37.5,5,3,1,40.696304321289,-73.620697021484,-1
Macy's,3, ,2,4,1,6,6,7,6,7,5,5,6,6,6,6,7,6,7,7,6,6,6,6,7,7,6,6,6,6,5,6,6,6,7,6,6,6,7,6,7,1,6,6,7,6,6,6,6,6,6,6,7,6,7,7,5,7,6,6,6,7,7,7,6,6,7,6,7,6,7,6,7,6,6,22,1,12.5,3,5,1,40.696304321289,-73.620697021484,-1
target,1, ,3,10,1,5,6,6,7,6,5,5,5,5,6,6,6,7,7,6,5,7,7,7,6,5,7,6,6,5,6,7,5,6,6,7,5,7,5,5,5,1,5,5,7,6,7,5,5,6,7,7,7,7,6,5,6,6,6,6,7,5,6,6,6,6,6,5,5,7,6,6,6,6,6,46,0,162.5,5,2,1,40.696304321289,-73.620697021484,-1
